Year;Month;Day;Wind_Speed_Max_ms;Wind_Max_Direction_Dg
1999;6;1;;
1999;6;2;;
1999;6;3;;
1999;6;4;;
1999;6;5;;
1999;6;6;;
1999;6;7;;
1999;6;8;;
1999;6;9;;
1999;6;10;5,5;6
1999;6;11;8,2;247
1999;6;12;7,8;236
1999;6;13;7,2;22
1999;6;14;6,1;28
1999;6;15;9,3;28
1999;6;16;9,4;22
1999;6;17;7,7;343
1999;6;18;8,1;304
1999;6;19;6,2;281
1999;6;20;4,2;67
1999;6;21;7,8;276
1999;6;22;10,6;321
1999;6;23;13,5;343
1999;6;24;9,4;332
1999;6;25;5,1;17
1999;6;26;10,6;174
1999;6;27;10,7;191
1999;6;28;10,9;180
1999;6;29;6,3;343
1999;6;30;6,9;349
1999;7;1;7,2;337
1999;7;2;7,8;259
1999;7;3;6,2;354
1999;7;4;7,2;141
1999;7;5;12,8;118
1999;7;6;13,1;208
1999;7;7;7,6;236
1999;7;8;12,4;34
1999;7;9;9,8;17
1999;7;10;11;51
1999;7;11;8,5;107
1999;7;12;8,6;101
1999;7;13;10;186
1999;7;14;11,9;242
1999;7;15;7;253
1999;7;16;6,7;17
1999;7;17;5,2;22
1999;7;18;6,1;34
1999;7;19;7,9;180
1999;7;20;12,2;281
1999;7;21;10,7;281
1999;7;22;7,5;236
1999;7;23;7,7;17
1999;7;24;9,7;349
1999;7;25;7,1;360
1999;7;26;9,9;22
1999;7;27;14,3;22
1999;7;28;11,2;28
1999;7;29;12,3;22
1999;7;30;8,2;28
1999;7;31;11,6;22
1999;8;1;9,4;62
1999;8;2;9,3;112
1999;8;3;10,2;332
1999;8;4;6,4;90
1999;8;5;7,5;174
1999;8;6;7,9;242
1999;8;7;9,3;28
1999;8;8;8,6;180
1999;8;9;13,2;354
1999;8;10;12,8;281
1999;8;11;7,6;247
1999;8;12;8,8;11
1999;8;13;10,5;321
1999;8;14;6,9;276
1999;8;15;13,7;236
1999;8;16;7;219
1999;8;17;8,2;287
1999;8;18;8,6;174
1999;8;19;7,7;219
1999;8;20;8,2;236
1999;8;21;7,3;264
1999;8;22;7,9;360
1999;8;23;7,5;326
1999;8;24;5,9;292
1999;8;25;6,1;354
1999;8;26;10,8;186
1999;8;27;8,9;129
1999;8;28;6,3;247
1999;8;29;6,6;22
1999;8;30;6,4;34
1999;8;31;8,7;349
1999;9;1;12,6;321
1999;9;2;9,6;11
1999;9;3;9,6;34
1999;9;4;8,8;141
1999;9;5;10,8;112
1999;9;6;9,7;186
1999;9;7;8,4;197
1999;9;8;10,8;22
1999;9;9;10,6;349
1999;9;10;11,1;28
1999;9;11;7,1;11
1999;9;12;5,9;28
1999;9;13;4,7;298
1999;9;14;5,1;186
1999;9;15;4,9;6
